County,State,Lat,Long,Location
Archuleta,Colorado,37.19474156,-107.0476867,"Archuleta, Colorado"
Arenac,Michigan,44.0636262,-83.89277559,"Arenac, Michigan"
Arkansas,Arkansas,34.29145151,-91.37277296,"Arkansas, Arkansas"
Arlington,Virginia,38.8767675,-77.10139853,"Arlington, Virginia"
Armstrong,Pennsylvania,40.81665618,-79.46290811,"Armstrong, Pennsylvania"
Armstrong,Texas,34.96507426,-101.3574874,"Armstrong, Texas"
Aroostook,Maine,46.65926321,-68.59841248,"Aroostook, Maine"
Arthur,Nebraska,41.56896142,-101.6959559,"Arthur, Nebraska"
Ascension,Louisiana,30.20406249,-90.9132841,"Ascension, Louisiana"
Ashe,North Carolina,36.43296207,-81.49862729,"Ashe, North Carolina"
Ashland,Ohio,40.84772277,-82.27280781,"Ashland, Ohio"
Ashland,Wisconsin,46.31956891,-90.67837132,"Ashland, Wisconsin"
Ashley,Arkansas,33.19153461,-91.7698471,"Ashley, Arkansas"
Ashtabula,Ohio,41.70860332,-80.74830218,"Ashtabula, Ohio"
Asotin,Washington,46.18894415,-117.2022851,"Asotin, Washington"
Assumption,Louisiana,29.89946234,-91.06461642,"Assumption, Louisiana"
Atascosa,Texas,28.89333001,-98.52730485,"Atascosa, Texas"
Atchison,Kansas,39.53185661,-95.30870026,"Atchison, Kansas"
Atchison,Missouri,40.43238737,-95.42970639,"Atchison, Missouri"
Athens,Ohio,39.33425634,-82.04278644,"Athens, Ohio"
Atkinson,Georgia,31.29633502,-82.87545866,"Atkinson, Georgia"
Atlantic,New Jersey,39.47538693,-74.65848483,"Atlantic, New Jersey"
Atoka,Oklahoma,34.37366573,-96.03802487,"Atoka, Oklahoma"
Attala,Mississippi,33.08658803,-89.57838564,"Attala, Mississippi"
Audrain,Missouri,39.215877,-91.84242683,"Audrain, Missouri"
Audubon,Iowa,41.6844628,-94.90581859,"Audubon, Iowa"
Auglaize,Ohio,40.55998859,-84.2242143,"Auglaize, Ohio"
Augusta,Virginia,38.16404586,-79.12461614,"Augusta, Virginia"
Aurora,South Dakota,43.71757685,-98.56050467,"Aurora, South Dakota"
Austin,Texas,29.88548725,-96.27736949,"Austin, Texas"
Autauga,Alabama,32.53952745,-86.64408227,"Autauga, Alabama"
Avery,North Carolina,36.07569796,-81.92308483,"Avery, North Carolina"
Avoyelles,Louisiana,31.07796211,-92.00079449,"Avoyelles, Louisiana"
Baca,Colorado,37.31940883,-102.5603223,"Baca, Colorado"
Bacon,Georgia,31.55456473,-82.45936528,"Bacon, Georgia"
Bailey,Texas,34.06854817,-102.8299707,"Bailey, Texas"
Baker,Florida,30.33060121,-82.28467476,"Baker, Florida"
Baker,Georgia,31.32669878,-84.44218806,"Baker, Georgia"
Baker,Oregon,44.70915557,-117.6749883,"Baker, Oregon"
Baldwin,Alabama,30.72774991,-87.72207058,"Baldwin, Alabama"
Baldwin,Georgia,33.06882326,-83.24701748,"Baldwin, Georgia"
Ballard,Kentucky,37.05842757,-88.99427697,"Ballard, Kentucky"
Baltimore,Maryland,39.45784712,-76.62911955,"Baltimore, Maryland"
Baltimore City,Maryland,39.30211911,-76.61151012,"Baltimore City, Maryland"
Bamberg,South Carolina,33.21927586,-81.05659969,"Bamberg, South Carolina"
Bandera,Texas,29.74619598,-99.24598147,"Bandera, Texas"
Banks,Georgia,34.35607081,-83.49644388,"Banks, Georgia"
Banner,Nebraska,41.54634427,-103.7114332,"Banner, Nebraska"
Bannock,Idaho,42.67002716,-112.2233311,"Bannock, Idaho"
Baraga,Michigan,46.6720582,-88.36363591,"Baraga, Michigan"
Barber,Kansas,37.2288586,-98.68460053,"Barber, Kansas"
Barbour,Alabama,31.868263,-85.3871286,"Barbour, Alabama"
Barbour,West Virginia,39.1307219,-80.00350858,"Barbour, West Virginia"
Barnes,North Dakota,46.93579637,-98.06605978,"Barnes, North Dakota"
Barnstable,Massachusetts,41.72980578,-70.28854339,"Barnstable, Massachusetts"
Barnwell,South Carolina,33.26679302,-81.43584352,"Barnwell, South Carolina"
Barren,Kentucky,36.96469836,-85.93338945,"Barren, Kentucky"
Barron,Wisconsin,45.42372701,-91.84833627,"Barron, Wisconsin"
Barrow,Georgia,33.99148694,-83.71436292,"Barrow, Georgia"
Barry,Michigan,42.59513984,-85.30834519,"Barry, Michigan"
Barry,Missouri,36.70978521,-93.82919888,"Barry, Missouri"
Bartholomew,Indiana,39.20744865,-85.89558181,"Bartholomew, Indiana"
Barton,Kansas,38.47889676,-98.75636726,"Barton, Kansas"
Barton,Missouri,37.50207671,-94.34757022,"Barton, Missouri"
Bartow,Georgia,34.23732119,-84.83887523,"Bartow, Georgia"
Bastrop,Texas,30.10370699,-97.31206354,"Bastrop, Texas"
Bates,Missouri,38.25271289,-94.34113157,"Bates, Missouri"
Bath,Kentucky,38.14735938,-83.74588932,"Bath, Kentucky"
Bath,Virginia,38.05852573,-79.73912095,"Bath, Virginia"
Baxter,Arkansas,36.28784385,-92.33782872,"Baxter, Arkansas"
Bay,Florida,30.26548745,-85.62122584,"Bay, Florida"
Bay,Michigan,43.70639106,-83.98731479,"Bay, Michigan"
Bayfield,Wisconsin,46.52868768,-91.19716729,"Bayfield, Wisconsin"
Baylor,Texas,33.61640794,-99.21352901,"Baylor, Texas"
Beadle,South Dakota,44.41464384,-98.27858469,"Beadle, South Dakota"
Bear Lake,Idaho,42.28269683,-111.3289238,"Bear Lake, Idaho"
Beaufort,North Carolina,35.48531943,-76.84325809,"Beaufort, North Carolina"
Beaufort,South Carolina,32.39226291,-80.72619758,"Beaufort, South Carolina"
Beauregard,Louisiana,30.64836518,-93.34173616,"Beauregard, Louisiana"
Beaver,Oklahoma,36.7496847,-100.4758872,"Beaver, Oklahoma"
Beaver,Pennsylvania,40.6825484,-80.34921611,"Beaver, Pennsylvania"
Beaver,Utah,38.35657051,-113.2342232,"Beaver, Utah"
Beaverhead,Montana,45.13434354,-112.8984694,"Beaverhead, Montana"
Becker,Minnesota,46.93479392,-95.67158144,"Becker, Minnesota"
Beckham,Oklahoma,35.26862449,-99.68128023,"Beckham, Oklahoma"
Bedford,Pennsylvania,40.00522157,-78.48998442,"Bedford, Pennsylvania"
Bedford,Tennessee,35.51123746,-86.45549096,"Bedford, Tennessee"
Bedford,Virginia,37.3080028,-79.5281964,"Bedford, Virginia"
Bee,Texas,28.41761668,-97.74215593,"Bee, Texas"
Belknap,New Hampshire,43.51637314,-71.41684235,"Belknap, New Hampshire"
Bell,Kentucky,36.73355174,-83.67766671,"Bell, Kentucky"
Bell,Texas,31.03736027,-97.4785025,"Bell, Texas"
Belmont,Ohio,40.01625942,-80.9924051,"Belmont, Ohio"
Beltrami,Minnesota,47.97373527,-94.93732139,"Beltrami, Minnesota"
Ben Hill,Georgia,31.76095874,-83.22145359,"Ben Hill, Georgia"
Benewah,Idaho,47.21754179,-116.6586851,"Benewah, Idaho"
Bennett,South Dakota,43.19486375,-101.6665572,"Bennett, South Dakota"
Bennington,Vermont,43.03519828,-73.09048868,"Bennington, Vermont"
Benson,North Dakota,48.0683985,-99.35916363,"Benson, North Dakota"
Bent,Colorado,37.95474293,-103.0720195,"Bent, Colorado"
Benton,Arkansas,36.33644656,-94.25680817,"Benton, Arkansas"
Benton,Indiana,40.60626947,-87.31093999,"Benton, Indiana"
Benton,Iowa,42.08011739,-92.06463573,"Benton, Iowa"
Benton,Minnesota,45.69804958,-93.99514135,"Benton, Minnesota"
Benton,Mississippi,34.81681228,-89.18945516,"Benton, Mississippi"
Benton,Missouri,38.29503305,-93.28756116,"Benton, Missouri"
Benton,Oregon,44.49167306,-123.4316987,"Benton, Oregon"
Benton,Tennessee,36.07110411,-88.06849355,"Benton, Tennessee"
Benton,Washington,46.23946995,-119.5120834,"Benton, Washington"
Benzie,Michigan,44.63899297,-86.01608482,"Benzie, Michigan"
Bergen,New Jersey,40.96010917,-74.07164325,"Bergen, New Jersey"
Berkeley,South Carolina,33.20222596,-79.94654523,"Berkeley, South Carolina"
Berkeley,West Virginia,39.46704621,-78.02414609,"Berkeley, West Virginia"
Berks,Pennsylvania,40.41570541,-75.92457766,"Berks, Pennsylvania"
Berkshire,Massachusetts,42.37428441,-73.20524838,"Berkshire, Massachusetts"
Bernalillo,New Mexico,35.05163625,-106.6703554,"Bernalillo, New Mexico"
Berrien,Georgia,31.27590016,-83.2252992,"Berrien, Georgia"
Berrien,Michigan,41.95447397,-86.4131308,"Berrien, Michigan"
Bertie,North Carolina,36.0688473,-76.96545943,"Bertie, North Carolina"
Bethel,Alaska,60.90980451,-159.8561831,"Bethel, Alaska"
Bexar,Texas,29.44928723,-98.52019748,"Bexar, Texas"
Bibb,Alabama,32.99642064,-87.1251146,"Bibb, Alabama"
Bibb,Georgia,32.80904227,-83.70489165,"Bibb, Georgia"
Bienville,Louisiana,32.34569994,-93.05398492,"Bienville, Louisiana"
Big Horn,Montana,45.42335905,-107.492347,"Big Horn, Montana"
Big Horn,Wyoming,44.52405055,-107.9960365,"Big Horn, Wyoming"
Big Stone,Minnesota,45.42712824,-96.41403739,"Big Stone, Minnesota"
Billings,North Dakota,47.02366884,-103.3762965,"Billings, North Dakota"
Bingham,Idaho,43.2167288,-112.3978437,"Bingham, Idaho"
Black Hawk,Iowa,42.4704581,-92.30524729,"Black Hawk, Iowa"
Blackford,Indiana,40.47388153,-85.32499702,"Blackford, Indiana"
Bladen,North Carolina,34.61296243,-78.56180059,"Bladen, North Carolina"
Blaine,Idaho,43.4085812,-113.9752658,"Blaine, Idaho"
Blaine,Montana,48.43175214,-108.9582723,"Blaine, Montana"
Blaine,Nebraska,41.91311716,-99.97677845,"Blaine, Nebraska"
Blaine,Oklahoma,35.87518314,-98.43307003,"Blaine, Oklahoma"
Blair,Pennsylvania,40.47961444,-78.34917412,"Blair, Pennsylvania"
Blanco,Texas,30.26640707,-98.3999852,"Blanco, Texas"
Bland,Virginia,37.13128068,-81.13599391,"Bland, Virginia"
Bleckley,Georgia,32.43829035,-83.33035166,"Bleckley, Georgia"
Bledsoe,Tennessee,35.59942968,-85.20611967,"Bledsoe, Tennessee"
Blount,Alabama,33.98210918,-86.56790593,"Blount, Alabama"
Blount,Tennessee,35.68938198,-83.92847788,"Blount, Tennessee"
Blue Earth,Minnesota,44.03554215,-94.06699781,"Blue Earth, Minnesota"
Boise,Idaho,43.98829931,-115.7309284,"Boise, Idaho"
Bolivar,Mississippi,33.79696941,-90.87372121,"Bolivar, Mississippi"
Bollinger,Missouri,37.32449052,-90.02725304,"Bollinger, Missouri"
Bon Homme,South Dakota,42.98914167,-97.88592746,"Bon Homme, South Dakota"
Bond,Illinois,38.88829622,-89.43534887,"Bond, Illinois"
Bonner,Idaho,48.29996017,-116.6017932,"Bonner, Idaho"
Bonneville,Idaho,43.38713372,-111.6161537,"Bonneville, Idaho"
Boone,Arkansas,36.3084504,-93.09374925,"Boone, Arkansas"
Boone,Illinois,42.32359279,-88.82345779,"Boone, Illinois"
Boone,Indiana,40.0509304,-86.46841646,"Boone, Indiana"
Boone,Iowa,42.03657094,-93.9313999,"Boone, Iowa"
Boone,Kentucky,38.97065142,-84.72615357,"Boone, Kentucky"
Boone,Missouri,38.99186229,-92.30723575,"Boone, Missouri"
Boone,Nebraska,41.70759415,-98.06737183,"Boone, Nebraska"
Boone,West Virginia,38.01974191,-81.69888019,"Boone, West Virginia"
Borden,Texas,32.74363984,-101.4316509,"Borden, Texas"
Bosque,Texas,31.89978581,-97.63613524,"Bosque, Texas"
Bossier,Louisiana,32.67932307,-93.60460152,"Bossier, Louisiana"
Botetourt,Virginia,37.55531756,-79.80982182,"Botetourt, Virginia"
Bottineau,North Dakota,48.79106111,-100.8378166,"Bottineau, North Dakota"
Boulder,Colorado,40.09313619,-105.3546767,"Boulder, Colorado"
Boundary,Idaho,48.76684761,-116.4630179,"Boundary, Idaho"
Bourbon,Kansas,37.85508555,-94.84865997,"Bourbon, Kansas"
Bourbon,Kentucky,38.2054607,-84.21827874,"Bourbon, Kentucky"
Bowie,Texas,33.44626922,-94.41834132,"Bowie, Texas"
Bowman,North Dakota,46.11285362,-103.5203343,"Bowman, North Dakota"
Box Butte,Nebraska,42.22079243,-103.0878834,"Box Butte, Nebraska"
Box Elder,Utah,41.52106798,-113.0832816,"Box Elder, Utah"
Boyd,Kentucky,38.36176608,-82.68652187,"Boyd, Kentucky"
Boyd,Nebraska,42.8997274,-98.76486568,"Boyd, Nebraska"
Boyle,Kentucky,37.62680923,-84.8633779,"Boyle, Kentucky"
Bracken,Kentucky,38.69158994,-84.08532444,"Bracken, Kentucky"
Bradford,Florida,29.95079741,-82.16611613,"Bradford, Florida"
Bradford,Pennsylvania,41.78869215,-76.51570822,"Bradford, Pennsylvania"
Bradley,Arkansas,33.46755808,-92.15980837,"Bradley, Arkansas"
Bradley,Tennessee,35.15739424,-84.857186,"Bradley, Tennessee"
Branch,Michigan,41.91600556,-85.05929476,"Branch, Michigan"
Brantley,Georgia,31.19576557,-81.97743999,"Brantley, Georgia"
Braxton,West Virginia,38.70036159,-80.72011184,"Braxton, West Virginia"
Brazoria,Texas,29.18757369,-95.44563172,"Brazoria, Texas"
Brazos,Texas,30.6636448,-96.30205577,"Brazos, Texas"
Breathitt,Kentucky,37.52333168,-83.31959161,"Breathitt, Kentucky"
Breckinridge,Kentucky,37.77377239,-86.42885017,"Breckinridge, Kentucky"
Bremer,Iowa,42.77461496,-92.31795937,"Bremer, Iowa"
Brevard,Florida,28.29409504,-80.73091022,"Brevard, Florida"
Brewster,Texas,29.81008251,-103.2520326,"Brewster, Texas"
Briscoe,Texas,34.53026962,-101.2084947,"Briscoe, Texas"
Bristol,Massachusetts,41.79228404,-71.10872211,"Bristol, Massachusetts"
Bristol,Rhode Island,41.71018079,-71.28652315,"Bristol, Rhode Island"
Bristol,Virginia,36.6163024,-82.16359122,"Bristol, Virginia"
Bristol Bay,Alaska,58.74513976,-156.701064,"Bristol Bay, Alaska"
Broadwater,Montana,46.33277565,-111.4955813,"Broadwater, Montana"
Bronx,New York,40.85209301,-73.86282755,"Bronx, New York"
Brooke,West Virginia,40.27367263,-80.57915332,"Brooke, West Virginia"
Brookings,South Dakota,44.36974375,-96.79079945,"Brookings, South Dakota"
Brooks,Georgia,30.83922642,-83.58303423,"Brooks, Georgia"
Brooks,Texas,27.03103197,-98.21808402,"Brooks, Texas"
Broome,New York,42.15903158,-75.81326086,"Broome, New York"
Broomfield,Colorado,39.95998787,-105.0566324,"Broomfield, Colorado"
Broward,Florida,26.15184651,-80.48725556,"Broward, Florida"
Brown,Illinois,39.96209138,-90.75068024,"Brown, Illinois"
Brown,Indiana,39.19605589,-86.22868909,"Brown, Indiana"
Brown,Kansas,39.82652589,-95.56421698,"Brown, Kansas"
Brown,Minnesota,44.24205652,-94.72562874,"Brown, Minnesota"
Brown,Nebraska,42.43018907,-99.92904055,"Brown, Nebraska"
Brown,Ohio,38.93416837,-83.86788395,"Brown, Ohio"
Brown,South Dakota,45.58994323,-98.35165355,"Brown, South Dakota"
Brown,Texas,31.77430356,-98.99907113,"Brown, Texas"
Brown,Wisconsin,44.4526553,-88.00411844,"Brown, Wisconsin"
Brule,South Dakota,43.71756379,-99.08118954,"Brule, South Dakota"
Brunswick,North Carolina,34.070565,-78.22814204,"Brunswick, North Carolina"
Brunswick,Virginia,36.76366949,-77.8593436,"Brunswick, Virginia"
Bryan,Georgia,32.00979311,-81.44002948,"Bryan, Georgia"
Bryan,Oklahoma,33.96472458,-96.25903472,"Bryan, Oklahoma"
Buchanan,Iowa,42.4709188,-91.83510825,"Buchanan, Iowa"
Buchanan,Missouri,39.65816401,-94.80138942,"Buchanan, Missouri"
Buchanan,Virginia,37.26818323,-82.03749726,"Buchanan, Virginia"
Buckingham,Virginia,37.57242268,-78.52518834,"Buckingham, Virginia"
Bucks,Pennsylvania,40.33682119,-75.10836643,"Bucks, Pennsylvania"
Buena Vista,Iowa,42.73545875,-95.15100162,"Buena Vista, Iowa"
Buena Vista,Virginia,37.73484642,-79.35296097,"Buena Vista, Virginia"
Buffalo,Nebraska,40.85486962,-99.07500296,"Buffalo, Nebraska"
Buffalo,South Dakota,44.07657829,-99.20814467,"Buffalo, South Dakota"
Buffalo,Wisconsin,44.37835084,-91.75332578,"Buffalo, Wisconsin"
Bullitt,Kentucky,37.97162523,-85.68955617,"Bullitt, Kentucky"
Bulloch,Georgia,32.39577406,-81.74811421,"Bulloch, Georgia"
Bullock,Alabama,32.10030533,-85.71265535,"Bullock, Alabama"
Buncombe,North Carolina,35.61113393,-82.53305,"Buncombe, North Carolina"
Bureau,Illinois,41.40385234,-89.5283051,"Bureau, Illinois"
Burke,Georgia,33.05917989,-81.99928721,"Burke, Georgia"
Burke,North Carolina,35.74989637,-81.70755735,"Burke, North Carolina"
Burke,North Dakota,48.79094471,-102.5182117,"Burke, North Dakota"
Burleigh,North Dakota,46.97847375,-100.4645214,"Burleigh, North Dakota"
Burleson,Texas,30.49273808,-96.62158484,"Burleson, Texas"
Burlington,New Jersey,39.87681124,-74.66927768,"Burlington, New Jersey"
Burnet,Texas,30.78801353,-98.181887,"Burnet, Texas"
Burnett,Wisconsin,45.86303537,-92.36711412,"Burnett, Wisconsin"
Burt,Nebraska,41.85056773,-96.32605633,"Burt, Nebraska"
Butler,Alabama,31.75300095,-86.68057478,"Butler, Alabama"
Butler,Iowa,42.73172833,-92.79015971,"Butler, Iowa"
Butler,Kansas,37.78134351,-96.83878537,"Butler, Kansas"
Butler,Kentucky,37.20946153,-86.68748787,"Butler, Kentucky"
Butler,Missouri,36.71462476,-90.40421163,"Butler, Missouri"
Butler,Nebraska,41.22703692,-97.13106306,"Butler, Nebraska"
Butler,Ohio,39.44012838,-84.57388716,"Butler, Ohio"
Butler,Pennsylvania,40.91152759,-79.91351055,"Butler, Pennsylvania"
Butte,California,39.66727762,-121.6005252,"Butte, California"
Butte,Idaho,43.72592209,-113.1735463,"Butte, Idaho"
Butte,South Dakota,44.90608745,-103.5079318,"Butte, South Dakota"
Butts,Georgia,33.2830945,-83.9543504,"Butts, Georgia"
Cabarrus,North Carolina,35.3877799,-80.55267168,"Cabarrus, North Carolina"
Cabell,West Virginia,38.42424062,-82.23855912,"Cabell, West Virginia"
Cache,Utah,41.72330587,-111.7443667,"Cache, Utah"
Caddo,Louisiana,32.57991587,-93.88375652,"Caddo, Louisiana"
Caddo,Oklahoma,35.17364557,-98.37534464,"Caddo, Oklahoma"
Calaveras,California,38.20537103,-120.552913,"Calaveras, California"
Calcasieu,Louisiana,30.22931235,-93.35400434,"Calcasieu, Louisiana"
Caldwell,Kentucky,37.14749129,-87.86948214,"Caldwell, Kentucky"
Caldwell,Louisiana,32.0902519,-92.11752148,"Caldwell, Louisiana"
Caldwell,Missouri,39.65620858,-93.98308093,"Caldwell, Missouri"
Caldwell,North Carolina,35.95204977,-81.54799522,"Caldwell, North Carolina"
Caldwell,Texas,29.83668859,-97.61814775,"Caldwell, Texas"
Caledonia,Vermont,44.46548598,-72.10314651,"Caledonia, Vermont"
Calhoun,Alabama,33.77483727,-85.82630386,"Calhoun, Alabama"
Calhoun,Arkansas,33.55598792,-92.49974403,"Calhoun, Arkansas"
Calhoun,Florida,30.40666734,-85.19394153,"Calhoun, Florida"
Calhoun,Georgia,31.53169785,-84.62725131,"Calhoun, Georgia"
Calhoun,Illinois,39.16840183,-90.66330078,"Calhoun, Illinois"
Calhoun,Iowa,42.38521079,-94.64046046,"Calhoun, Iowa"
Calhoun,Michigan,42.24633834,-85.00493569,"Calhoun, Michigan"
Calhoun,Mississippi,33.93683395,-89.33686647,"Calhoun, Mississippi"
Calhoun,South Carolina,33.66926881,-80.77722168,"Calhoun, South Carolina"
Calhoun,Texas,28.47048236,-96.61633945,"Calhoun, Texas"
Calhoun,West Virginia,38.84315422,-81.11934872,"Calhoun, West Virginia"
Callahan,Texas,32.29760619,-99.37326312,"Callahan, Texas"
Callaway,Missouri,38.83674754,-91.92186505,"Callaway, Missouri"
Calloway,Kentucky,36.62093411,-88.2731593,"Calloway, Kentucky"
Calumet,Wisconsin,44.0816316,-88.21780273,"Calumet, Wisconsin"
Calvert,Maryland,38.53961642,-76.56820632,"Calvert, Maryland"
Camas,Idaho,43.46665742,-114.8065892,"Camas, Idaho"
Cambria,Pennsylvania,40.49527404,-78.71377428,"Cambria, Pennsylvania"
Camden,Georgia,30.92951916,-81.66601818,"Camden, Georgia"
Camden,Missouri,38.02199522,-92.76083747,"Camden, Missouri"
Camden,New Jersey,39.80343818,-74.96388753,"Camden, New Jersey"
Camden,North Carolina,36.33804939,-76.15568396,"Camden, North Carolina"
Cameron,Louisiana,29.87592238,-93.19310676,"Cameron, Louisiana"
Cameron,Pennsylvania,41.43625568,-78.20376845,"Cameron, Pennsylvania"
Cameron,Texas,26.14524221,-97.48140372,"Cameron, Texas"
Camp,Texas,32.97195142,-94.97790104,"Camp, Texas"
Campbell,Kentucky,38.94384345,-84.37875208,"Campbell, Kentucky"
Campbell,South Dakota,45.77074915,-100.0510181,"Campbell, South Dakota"
Campbell,Tennessee,36.40355516,-84.1510856,"Campbell, Tennessee"
Campbell,Virginia,37.20553386,-79.09678609,"Campbell, Virginia"
Campbell,Wyoming,44.24886082,-105.5474404,"Campbell, Wyoming"
Canadian,Oklahoma,35.5426055,-97.98465569,"Canadian, Oklahoma"
Candler,Georgia,32.40209349,-82.07702563,"Candler, Georgia"
Cannon,Tennessee,35.80990797,-86.05738983,"Cannon, Tennessee"
Canyon,Idaho,43.61970148,-116.7095499,"Canyon, Idaho"
Cape Girardeau,Missouri,37.38489388,-89.6843587,"Cape Girardeau, Missouri"
Cape May,New Jersey,39.15008829,-74.80170244,"Cape May, New Jersey"
Carbon,Montana,45.22850116,-109.0274047,"Carbon, Montana"
Carbon,Pennsylvania,40.91545395,-75.7068525,"Carbon, Pennsylvania"
Carbon,Utah,39.64834818,-110.5872512,"Carbon, Utah"
Carbon,Wyoming,41.69357844,-106.9326084,"Carbon, Wyoming"
Caribou,Idaho,42.77149116,-111.5597683,"Caribou, Idaho"
Carlisle,Kentucky,36.85372876,-88.9669222,"Carlisle, Kentucky"
